"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @92Lshopph: Happy birthday to our multi talented prince, park chanyeol 🍒 @weareoneEXO
#HappyChanyeolDay #OurMeissaChanyeolDay 

https://…",FALSE,0,NA,2021-11-27 13:45:48,FALSE,NA,"1464591288028655616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Saaju03",44,TRUE,FALSE,NA,NA
"@27xCHANYEOL 💚🍰
HAPPY CHANYEOL DAY

#OurMeissaChanyeolDay 
#HappyChanyeolDay
#찬열아생일축하해 #항상찬열이편 
#CHANYEOL #찬열",FALSE,0,"27xCHANYEOL",2021-11-27 13:45:48,FALSE,"1464590494470586377","1464591287080808460","1101886838279614464","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jackiechanolie",0,FALSE,FALSE,NA,NA
"RT @no_loey_no_life: #CHANYEOL's message ❤

It's such a great stroke of luck for me to be spending my birthday like this with you all. Than…",FALSE,0,NA,2021-11-27 13:45:48,FALSE,NA,"1464591286514565120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","syhdarfa",1258,TRUE,FALSE,NA,NA
"@l0eypcy_ @weareoneEXO HAPPY CHANYEOL DAY

#OurMeissaChanyeolDay
#HappyChanyeolDay
#찬열아생일축하해 #항상찬열이편 
@weareoneEXO",FALSE,0,"4loeyksoo",2021-11-27 13:45:47,FALSE,"1464591249344647169","1464591285721964553","1395742114416271362","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","4loeyksoo",0,FALSE,FALSE,NA,NA
"RT @exopredict: CHANYEOL UPDATE 😭😭😭😭❤❤#OurMeissaChanyeolDay 
#HappyChanyeolDay https://t.co/i5NTWv20iM",FALSE,0,NA,2021-11-27 13:45:47,FALSE,NA,"1464591282433576964",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","diamond94k",363,TRUE,FALSE,NA,NA
"@l0eypcy_ @weareoneEXO HAPPY CHANYEOL DAY 

#CHANYEOL
#OurMeissaChanyeolDay 
#HappyChanyeolDay
#찬열아생일축하해 #HappyVirus  
#항상찬열이편 @weareoneEXO",FALSE,0,"sehunfangirlll",2021-11-27 13:45:45,FALSE,"1464591258668580870","1464591276297256963","1224948281236545536","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sehunfangirlll",0,FALSE,FALSE,NA,NA
"RT @NTH_2705: Chanbar project Chanyeol's birthday

Part 5: LED at COEX Mall

#OurMeissaChanyeolDay
#HappyChanyeolDay 
#찬열아생일축하해 
#항상찬열이편 ht…",FALSE,0,NA,2021-11-27 13:45:45,FALSE,NA,"1464591275609362435",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yeolmemoo",25,TRUE,FALSE,NA,NA
"RT @loeygraphs: Happiest birthday to my favourite human🍒 Thank you for being born, thank you for being my happiness and safe place, and tha…",FALSE,0,NA,2021-11-27 13:45:45,FALSE,NA,"1464591274703568900",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ImherebcsofEXO1",2705,TRUE,FALSE,NA,NA
"RT @92LOOKS: Happy birthday to my Meissa. Thank you for bringing happiness and love into our lives! you are the sweetest person &lt;3 we love…",FALSE,0,NA,2021-11-27 13:45:45,FALSE,NA,"1464591274321670144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","loeyfie",1365,TRUE,FALSE,NA,NA
"@ShopUpand Happy Birthday Chanyeol!! 🎂🎂🎂
Stay happy
always..because your happiness our EXOL happiness too.I wish yo… https://t.co/BfMAMI9e0J",FALSE,0,"ShopUpand",2021-11-27 13:45:45,TRUE,"1464248939683540997","1464591274174996487","1300594054141419520","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mafefer18",0,FALSE,FALSE,NA,NA
"RT @lbbhcloud: @CrysoneL HAPPY CHANYEOL DAY
#OurMeissaChanyeolDay 
#HappyChanyeolDay
#찬열아생일축하해
#항상찬열이편 
@weareoneEXO",FALSE,0,NA,2021-11-27 13:45:44,FALSE,NA,"1464591272853880835",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CrysoneL",1,TRUE,FALSE,NA,NA
"RT @NTH_2705: Chanbar project Chanyeol's birthday

Part 5: LED at COEX Mall

#OurMeissaChanyeolDay
#HappyChanyeolDay 
#찬열아생일축하해 
#항상찬열이편 ht…",FALSE,0,NA,2021-11-27 13:45:44,FALSE,NA,"1464591272711053313",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mrloeyssi",25,TRUE,FALSE,NA,NA
"@27xCHANYEOL HAPPY CHANYEOL DAY 

#OurMeissaChanyeolDay 
#HappyChanyeolDay
#찬열아생일축하해
#항상찬열이편 8",FALSE,0,"27xCHANYEOL",2021-11-27 13:45:44,FALSE,"1464590494470586377","1464591272652337161","1101886838279614464","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Bilssomnim61",0,FALSE,FALSE,NA,NA
"RT @ParkChanyeolINA: 211127 #CHANYEOL Last Curtain Call 'A Song of Meissa'

Cr Lumbre_61
#찬열 #메이사의노래 
#HappyChanyeolDay 
 https://t.co/6cni…",FALSE,0,NA,2021-11-27 13:45:44,FALSE,NA,"1464591272052592646",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","luvlyloey27",50,TRUE,FALSE,NA,NA
"RT @ParkChanyeolINA: 211127 #CHANYEOL Last Curtain Call 'A Song of Meissa'

Cr jbcoo2014
#찬열 #메이사의노래 
#HappyChanyeolDay 
 https://t.co/1vMc…",FALSE,0,NA,2021-11-27 13:45:43,FALSE,NA,"1464591268156043268",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","skypeaches_",52,TRUE,FALSE,NA,NA
